size,time
986220,3624
986210,3708
986200,4080
986190,2796
986180,3192
986170,3564
986160,3396
986150,3504
986140,3612
986130,3324
986120,3216
986110,2700
986100,3732
986090,3180
986080,3288
986070,3180
986060,3108
986050,2928
986040,4176
986030,3492
986020,3516
986010,3168
986000,3192
985990,3852
985980,2652
985970,3012
985960,4380
985950,3708
985940,2892
985930,4236
985920,3420
985910,2760
985900,4596
985890,3324
985880,3324
985870,2676
985860,2616
985850,3936
985840,3252
985830,3348
985820,3108
985810,3024
985800,3672
985790,3336
985780,3648
985770,2652
985760,2508
985750,3816
985740,3840
985730,4212
985720,2676
985710,3768
985700,3024
985690,3216
985680,3408
985670,3720
985660,3252
985650,3024
985640,3696
985630,3312
985620,3216
985610,3372
985600,2676
985590,3120
985580,2676
985570,2892
985560,2964
985550,3432
985540,2904
985530,3672
985520,2976
985510,3084
985500,3180
985490,2928
985480,3216
985470,3924
985460,3780
985450,2976
985440,3576
985430,2796
985420,3420
985410,3660
985400,2532
985390,3408
985380,3060
985370,3240
985360,4416
985350,2664
985340,3276
985330,3156
985320,2628
985310,3504
985300,2904
985290,2964
985280,3984
985270,3600
985260,3288
985250,3816
985240,2628
985230,2700
985220,2952
985210,3348
985200,3312
985190,3360
985180,3444
985170,3588
985160,2688
985150,3444
985140,3324
985130,2448
985120,3120
985110,2844
985100,3948
985090,2604
985080,3648
985070,2652
985060,3372
985050,2844
985040,3444
985030,3456
985020,3348
985010,3684
985000,2292
984990,3480
984980,3624
984970,2580
984960,3828
984950,3000
984940,2856
984930,3156
984920,3576
984910,4428
984900,3348
984890,2628
984880,3648
984870,3143
984860,3060
984850,3792
984840,2124
984830,2880
984820,3408
984810,3252
984800,3432
984790,2592
984780,2904
984770,2820
984760,2712
984750,3228
984740,2820
984730,2820
984720,3084
984710,2676
984700,2940
984690,3960
984680,3192
984670,3156
984660,3516
984650,2904
984640,2976
984630,3828
984620,3696
984610,3372
984600,3012
984590,3240
984580,3072
984570,3324
984560,2988
984550,2760
984540,4056
984530,3012
984520,3000
984510,2664
984500,3708
984490,3504
984480,2556
984470,2940
984460,2712
984450,3972
984440,3096
984430,3144
984420,2952
984410,3048
984400,2892
984390,2916
984380,3912
984370,2028
984360,2832
984350,3336
984340,3432
984330,3444
984320,2868
984310,3240
984300,3516
984290,2640
984280,2856
984270,2988
984260,3000
984250,2988
984240,2436
984230,2844
984220,2952
984210,2772
984200,2712
984190,3024
984180,3264
984170,2952
984160,3336
984150,3576
984140,2280
984130,2243
984120,4128
984110,1980
984100,1848
984090,2832
984080,2892
984070,2856
984060,3420
984050,2676
984040,2736
984030,3072
984020,2064
984010,3396
984000,3744
983990,2328
983980,3552
983970,2808
983960,3168
983950,2724
983940,2268
983930,2580
983920,2532
983910,2880
983900,2916
983890,2820
983880,3168
983870,3216
983860,2664
983850,2340
983840,2184
983830,2412
983820,2436
983810,2664
983800,2748
983790,2952
983780,2976
983770,2124
983760,3240
983750,2808
983740,3072
983730,3480
983720,3180
983710,3264
983700,3324
983690,3348
983680,2832
983670,3120
983660,2424
983650,2856
983640,3012
983630,2844
983620,2424
983610,2508
983600,1932
983590,3192
983580,2952
983570,3504
983560,3540
983550,2676
983540,2880
983530,2748
983520,2928
983510,3360
983500,3276
983490,3060
983480,2748
983470,2676
983460,2688
983450,3072
983440,2172
983430,2988
983420,3240
983410,2784
983400,2880
983390,3048
983380,3564
983370,3048
983360,3588
983350,2712
983340,3228
983330,2580
983320,2496
983310,3264
983300,2520
983290,2916
983280,3192
983270,3180
983260,4080
983250,2736
983240,3468
983230,3900
983220,3264
983210,3132
983200,3036
983190,2676
983180,3708
983170,2964
983160,3744
983150,3432
983140,3552
983130,3684
983120,2484
983110,2520
983100,3636
983090,3720
983080,3660
983070,2892
983060,3204
983050,3480
983040,3456
983030,3348
983020,5136
983010,3444
983000,3744
982990,3228
982980,3228
982970,3480
982960,2712
982950,3384
982940,3072
982930,2748
982920,3060
982910,2424
982900,2472
982890,2616
982880,2976
982870,2796
982860,3324
982850,3348
982840,2460
982830,3168
982820,2292
982810,2760
982800,3624
982790,3192
982780,2748
982770,3060
982760,4032
982750,3252
982740,3228
982730,3096
982720,2904
982710,2532
982700,3168
982690,3504
982680,4188
982670,2940
982660,3096
982650,3492
982640,3540
982630,3756
982620,3228
982610,3900
982600,3540
982590,4044
982580,3252
982570,3204
982560,2988
982550,3492
982540,3996
982530,3420
982520,3168
982510,3180
982500,3156
982490,4068
982480,2664
982470,3828
982460,3336
982450,3576
982440,3324
982430,2784
982420,2736
982410,2976
982400,3468
982390,3540
982380,3384
982370,4152
982360,3444
982350,3084
982340,3708
982330,3192
982320,3108
982310,2508
982300,2952
982290,3576
982280,2976
982270,3480
982260,3348
982250,2988
982240,3612
982230,3492
982220,3456
982210,3408
982200,3000
982190,3324
982180,3096
982170,3684
982160,3648
982150,3732
982140,2724
982130,3264
982120,3672
982110,2856
982100,3768
982090,3384
982080,3564
982070,3264
982060,3648
982050,3540
982040,4044
982030,3468
982020,3432
982010,3624
982000,3744
981990,3888
981980,3432
981970,3372
981960,3588
981950,3420
981940,3060
981930,2868
981920,3672
981910,3528
981900,3204
981890,3132
981880,3048
981870,3408
981860,3888
981850,3300
981840,3864
981830,4092
981820,3084
981810,2700
981800,3372
981790,3528
981780,3708
981770,3480
981760,2496
981750,3396
981740,2988
981730,3672
981720,3420
981710,3360
981700,3600
981690,3096
981680,3264
981670,3516
981660,3516
981650,2832
981640,2868
981630,3756
981620,3600
981610,3180
981600,3408
981590,3588
981580,3144
981570,3360
981560,2604
981550,3312
981540,3756
981530,3060
981520,3588
981510,3804
981500,3912
981490,3240
981480,3564
981470,3696
981460,4020
981450,2496
981440,4044
981430,3600
981420,3060
981410,3192
981400,3504
981390,3852
981380,3456
981370,3048
981360,2904
981350,2988
981340,3732
981330,3792
981320,3012
981310,3264
981300,3552
981290,3144
981280,3191
981270,2964
981260,3264
981250,3300
981240,3336
981230,3288
981220,2952
981210,3264
981200,4116
981190,4104
981180,3432
981170,4224
981160,3744
981150,3384
981140,3348
981130,3156
981120,3444
981110,3684
981100,3348
981090,3204
981080,2952
981070,3852
981060,3108
981050,3288
981040,3936
981030,3744
981020,3336
981010,3732
981000,3420
980990,3300
980980,3420
980970,3336
980960,3312
980950,3096
980940,3636
980930,3324
980920,3504
980910,3192
980900,3120
980890,2856
980880,3263
980870,3456
980860,2676
980850,3180
980840,3720
980830,3300
980820,2904
980810,3540
980800,3084
980790,3168
980780,3228
980770,3516
980760,3516
980750,3912
980740,3336
980730,2724
980720,3456
980710,3312
980700,3348
980690,3252
980680,3564
980670,3384
980660,3612
980650,3756
980640,4452
980630,4152
980620,3540
980610,2964
980600,3300
980590,3624
980580,3252
980570,2904
980560,2844
980550,3636
980540,3780
980530,3588
980520,2940
980510,3432
980500,3024
980490,3480
980480,2544
980470,3048
980460,3672
980450,3768
980440,3132
980430,3408
980420,3984
980410,3372
980400,3348
980390,3300
980380,2952
980370,3420
980360,3720
980350,3588
980340,4392
980330,3576
980320,3216
980310,3744
980300,3216
980290,2856
980280,2376
980270,3888
980260,3840
980250,2832
980240,3252
980230,3900
980220,3180
980210,3768
980200,3564
980190,3456
980180,3048
980170,3324
980160,3168
980150,3000
980140,3312
980130,3252
980120,3192
980110,3336
980100,3324
980090,3396
980080,3672
980070,4284
980060,4572
980050,3456
980040,3996
980030,2796
980020,3432
980010,3684
980000,3636
979990,3083
979980,3252
979970,3324
979960,3564
979950,3480
979940,2988
979930,2868
979920,3516
979910,3648
979900,2904
979890,3132
979880,3240
979870,3444
979860,3444
979850,3240
979840,3372
979830,3600
979820,3300
979810,3108
979800,3444
979790,4236
979780,3648
979770,3492
979760,2976
979750,3024
979740,3360
979730,4020
979720,3180
979710,3168
979700,3564
979690,3408
979680,3528
979670,3336
979660,2520
979650,3276
979640,3660
979630,3480
979620,3408
979610,4188
979600,3048
979590,3384
979580,3696
979570,3036
979560,3300
979550,3912
979540,4308
979530,3528
979520,3300
979510,3324
979500,4116
979490,3708
979480,4200
979470,4116
979460,3443
979450,3240
979440,3240
979430,3780
979420,3660
979410,4200
979400,3660
979390,4260
979380,3828
979370,3300
979360,3180
979350,4200
979340,3036
979330,3852
979320,3732
979310,3432
979300,4560
979290,3420
979280,3180
979270,3264
979260,3780
979250,3348
979240,3060
979230,3624
979220,3180
979210,3156
979200,3204
979190,3876
979180,3216
979170,3444
979160,3612
979150,3204
979140,3852
979130,3708
979120,3924
